Name,Price,URL,ImgURL,CPU,Ram,Ram_slot,Storage,Graphics,Display,Battery,Wireless,Weight,Size,Color,OS
Laptop Dell Vostro 3520 V5I3614W1,14990000,https://www.phucanh.vn//laptop-dell-vostro-3520-v5i3614w1.html,https://phucanhcdn.com/media/product/250_49822_dell_vostro_3520_carbon_black_a4.jpg,Core i3 Alder Lake 1215U 1.2 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,WiFi 802.11a/b/g/ Bluetooth 5.0,"1,66 Kg","15.6inch Full HD,358 x 235 x 1.69 mm",Carbon,Windows 11 Home + Office Student
Laptop HP Gaming Victus 16-e1107AX 7C140PA,25490000,https://www.phucanh.vn//laptop-hp-gaming-victus-16-e1107ax-7c140pa.html,https://phucanhcdn.com/media/product/250_49607_8.jpg,AMD Ryzen 5 6600H 3.3 GHz,8Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,Khoảng 16 inch,Battery,MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.2 combo (supporting gigabit data rate),"2,4 Kg","Khoảng 16 inch,6.9 x 55.2 x 34.5 cm",Blue,Windows 11 Home
Laptop Acer Gaming Nitro Eagle AN515 57 54MV NH.QENSV.003,26490000,https://www.phucanh.vn//laptop-gaming-acer-nitro-series-an515-57-54mv-nh.qensv.003.html,https://phucanhcdn.com/media/product/250_44949_1.jpg,Core i5 Tiger Lake 11400H 2.7 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,15.6inch Full HD,Battery,KillerTM Wi-Fi 6 AX 1650i/ 10/100/1000 Mbps / Bluetooth 5.1,"2,3 Kg","15.6inch Full HD,364.9 x 256.9 x 19 mm",Black,Windows 11 Home
Laptop Dell Inspiron 3520 70296960,22990000,https://www.phucanh.vn//may-tinh-xach-tay-dell-inspiron-3520-70296960.html,https://phucanhcdn.com/media/product/250_49132_dell_inspiron_3520_intel_silver_a3.jpg,Core i5 Alder Lake 1235U 1.3 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce MX550 2GB GDDR6,15.6inch Full HD,Battery,WiFi 802.11a/b/g/ Bluetooth 5.0,"1,9 Kg","15.6inch Full HD,381 x 256 x 25 mm",Silver,Windows 11 Home + Office Student
Laptop Lenovo ThinkPad X13 GEN 2 20WK00PTVA,32990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-x13-gen-2-20wk00ptva-core-i7.html,https://phucanhcdn.com/media/product/250_49978_laptop_lenovo_thinkpad_x13_gen_2__a3.jpg,Core i7 Tiger Lake 1165G7 2.8 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,13.3inch WQXGA,Battery,"Intel Wi-Fi 6E AX210, 11ax 2x2 + BT5.1","1,31 Kg","13.3inch WQXGA,305.8 x 217.06 x 18.19 mm",Black,NoOS
Laptop Lenovo S series S14 G3 IAP 82TW000DVN,14690000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-s-series-s14-g3-iap-82tw000dvn.html,https://phucanhcdn.com/media/product/250_49714_lenovo_s_series_s14_g3_iap__intel_cloud_grey_a5.jpg,Core i3 Alder Lake 1215U 1.2 GHz,8Gb (2x4Gb) DDR4 3200,1,256GB SSD M.2 NVMe PCIe,Intel UHD Graphics,14.0inch Full HD,Battery,"Wi-Fi 6 11ax, 2x2 + BT5.1","1,4 Kg","14.0inch Full HD,324 x 215 x 19.5 mm",Cloud Grey,NoOS
Laptop HP Pavilion 15-eg2082TU 7C0Q5PA,19790000,https://www.phucanh.vn//hp-pavilion-15-eg2082tu-7c0q5pa.html,https://phucanhcdn.com/media/product/250_49657_hp_pavilion_15_eg20_intel_gold_a1.jpg,Core i5 Alder Lake 1240P 3.3 GHz,8Gb (2x4Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.2 combo (supporting gigabit data rate),"1,74 Kg","15.6inch Full HD,36.02 x 23.4 x 1.79 cm",Gold,Windows 11 Home
Laptop Dell Inspiron 3520 I5U085W11BLU,19990000,https://www.phucanh.vn//may-tinh-xach-tay-dell-inspiron-3520-i5u085w11blu.html,https://phucanhcdn.com/media/product/250_49155_dell_inspiron_3520_intel_black_a1.jpg,Core i5 Alder Lake 1235U 1.3 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,802.11ac 1x1 WiFi + Bluetooth 5.2,"1,83 Kg","15.6inch Full HD,363 x 249 x 19.9 mm",Black,Windows 11 Home + Office Student
"Laptop Lenovo IdeaPad Slim 3 15IAU7 82RK001QVN , PC + ABS / 2 Year)",17490000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-ideapad-slim-3-15aba7-82rk001qvn.html,https://phucanhcdn.com/media/product/250_49142_lenovo_ideapad_slim_3_15iau7_a2.jpg,Core i5 Alder Lake 1235U 1.3 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,"11ac, 2x2 + BT5.0","1,63 Kg","15.6inch Full HD,359 x 236 x 19.9 mm",Xanh,Windows 11 Home
Laptop Dell Inspiron 3520 N5I5122W1,18990000,https://www.phucanh.vn//may-tinh-xach-tay-dell-inspiron-3520-n5i5122w1.html,https://phucanhcdn.com/media/product/250_48882_49470_dell_inspiron_3520_intel_blakc_a3.jpg,Core i5 Alder Lake 1235U 1.3 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,WiFi 802.11a/b/g/ Bluetooth 5.0,"1,9 Kg","15.6inch Full HD,381 x 256 x 25 mm",Black,Windows 11 Home + Office Student
Laptop Dell Inspiron 3520 I3U082W11BLU,15990000,https://www.phucanh.vn//may-tinh-xach-tay-dell-inspiron-3520-i3u082w11blu.html,https://phucanhcdn.com/media/product/250_49154_dell_inspiron_3520_intel_black_a1.jpg,Core i3 Alder Lake 1215U 1.2 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,802.11ac 1x1 WiFi + Bluetooth 5.2,"1,83 Kg","15.6inch Full HD,363 x 249 x 19.9 mm",Black,Windows 11 Home + Office Student
Laptop Acer Aspire Gaming A715 42G R05G NH.QAYSV.007,21990000,https://www.phucanh.vn//laptop-acer-gaming-aspire-7-a715-42g-r05g-nh.qaysv.007.html,https://phucanhcdn.com/media/product/250_45592_2.jpg,AMD Ryzen 5 5500U 2.1 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce GTX 1650 4GB GDDR6,15.6inch Full HD,Battery,Intel Wireless Wi-Fi 6 AX200/ 802.11a/b/g/n/acR2+ax wireless LAN/ Gigabit Ethernet,"2,1 Kg","15.6inch Full HD,364 x 249 x 19.9 mm",Black,Windows 11 Home
Laptop HP 240 G8 6L1A1PA,12590000,https://www.phucanh.vn//laptop-hp-240-g8-6l1a1pa.html,https://phucanhcdn.com/media/product/250_50255_7.jpg,Core i3 Tiger Lake 1115G4 3.0 GHz,8Gb DDR4,2,256GB SSD M.2 NVMe PCIe,Intel UHD Graphics,14.0inch Full HD,Battery,Realtek 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 wireless card,"1,5 Kg","14.0inch Full HD,279 x 191 x 16.9-16.9 mm",Silver,Windows 11 Home
Laptop HP Pavilion 15-eg2085TU 7C0Q7PA,18790000,https://www.phucanh.vn//laptop-hp-pavilion-15-eg2085tu-7c0q7pa-core-i5-1240p-8gb-256gb-ssd-intelirisxegraphics-156inch-full-hd-windows-11-home-silver-hop-kim-nhom.html,https://phucanhcdn.com/media/product/250_49897_laptop_hp_pavilion_15_eg2085tu_7c0q7pa_5.jpg,Core i5 Alder Lake 1240P 3.3 GHz,8Gb (2x4Gb) DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.2 combo (supporting gigabit data rate),"1,74 Kg","15.6inch Full HD,36.02 x 23.4 x 1.79 cm",Silver,Windows 11 Home
Laptop HP Pavilion 14-dv2032TU 6K768PA,22890000,https://www.phucanh.vn//laptop-hp-pavilion-14-dv2032tu-6k768pa.html,https://phucanhcdn.com/media/product/250_47970_laptop_hp_pavilion_14_dv2032tu_6k768pa_1.jpg,Core i7 Alder Lake 1255U 3.5 GHz,8Gb (2x4Gb) DDR4 3200,2,512GB SSD,Intel Iris Xe Graphics,14.0inch Full HD,Battery,MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.2 combo (Supporting Gigabit data rate),"1,4","14.0inch Full HD,32.5 x 21.66 x 1.7 cm",Gold,Windows 11 Home
Laptop Lenovo V series V14 G3 IAP 82TSA071VN,10990000,https://www.phucanh.vn//laptop-lenovo-v-series-v14-g3-itl-82ts0067vn-core-i3-1215u-4gb-256gb-ssd-intel-uhd-graphics-140inch-full-hd-noos-black-vo-nhua-1-year.html,https://phucanhcdn.com/media/product/250_51447_laptop_lenovo_v_series_v14_g3_itl__black_a6.jpg,Core i3 Alder Lake 1215U 1.2 GHz,4Gb (Onboard) DDR4 3200,1,256GB SSD M.2 NVMe PCIe 2242,Intel UHD Graphics,14.0inch Full HD,Battery,11ac 2x2 + BT5.0,"1,7 Kg","14.0inch Full HD,324 x 215 x 19.5 mm",Black,NoOS
Laptop HP ProBook 440 G9 6M0X3PA,20990000,https://www.phucanh.vn//laptop-hp-probook-440-g9-6m0x3pa.html,https://phucanhcdn.com/media/product/250_48619_9.jpg,Core i5 Alder Lake 1235U 1.3 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch Full HD,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo,"1,38 Kg","14.0inch Full HD,32.19 x 21.39 x 1.99 cm",Silver,Windows 11 Home
Laptop Lenovo ThinkPad E15 GEN 4 21E600CUVN,22990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-e15-gen-4-21e600cuvn-core-i5.html,https://phucanhcdn.com/media/product/250_50464_laptop_lenovo_thinkpad_e15_gen_4__intel_black_a.jpg,Core i5 Alder Lake 1235U 1.3 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2242,Intel Iris Xe Graphics,15.6inch Full HD,Battery,"Wi-Fi 6E 11ax, 2x2 + BT5.1","1,64 Kg","15.6inch Full HD,324 x 220 x 17.9 mm",Black,Windows 11 Home
Laptop Dell Vostro 5620 V6I5001W1,21990000,https://www.phucanh.vn//laptop-dell-vostro-5620-v6i5001w1.html,https://phucanhcdn.com/media/product/250_48889_2_1.jpg,Core i5 Alder Lake 1240P 3.3 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel UHD Graphics,Khoảng 16 inch,Battery,WiFi 802.11a/b/g -,"1,97 Kg","Khoảng 16 inch,355.9 x 243.4 x 16.8 mm",Grey,Windows 11 Home + Office Student
Laptop HP 15s fq2712TU 7C0X2PA,12690000,https://www.phucanh.vn//laptop-hp-15s-fq2712tu-7c0x2pa.html,https://phucanhcdn.com/media/product/250_49628_hp_15s_fq2712tu__intel_silver_a5.jpg,Core i3 Tiger Lake 1115G4 3.0 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 combo,"2,2","15.6inch Full HD,35.85 x 24.2 x 1.79 cm",Bạc,Windows 11 Home
Laptop Dell Vostro 3520 5M2TT2,18990000,https://www.phucanh.vn//may-tinh-xach-tay-dell-vostro-3520-5m2tt2.html,https://phucanhcdn.com/media/product/250_49804_dell_vostro_3520_grey_a_8.jpg,Core i5 Alder Lake 1235U 1.3 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,WiFi 802.11a/b/g/ Bluetooth 5.0,"1,66 Kg","15.6inch Full HD,358 x 235 x 1.69 mm",Grey,Windows 11 Home + Office Student
Laptop Dell Inspiron 3520 71003264,15690000,https://www.phucanh.vn//may-tinh-xach-tay-dell-inspiron-3520-71003264.html,https://phucanhcdn.com/media/product/250_49768_dell_inspiron_3520_intel_blakc_a3.jpg,Core i3 Alder Lake 1215U 1.2 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,WiFi 802.11a/b/g/ Bluetooth 5.0,"1,58 Kg","15.6inch Full HD,364 x 249 x 1.99 mm",Black,Windows 11 Home + Office Student
Laptop Lenovo ThinkPad E14 GEN 4 21E3S07200,22990000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-e14-gen-4-21e3s07200.html,https://phucanhcdn.com/media/product/250_49269_may_tinh_xach_tay_lenovo_thinkpad_e14_gen_4_5.jpg,Core i5 Alder Lake 1235U 1.3 GHz,16Gb (2x8Gb) DDR4 3200,1,256GB SSD M.2 NVMe PCIe 2242,Intel Iris Xe Graphics,14.0inch Full HD,Battery,Intel AX201 11ax. 2x2 + BT5.1,"1,64 Kg","14.0inch Full HD,324 x 220 x 17.9 mm",Black,NoOS
Laptop Lenovo ThinkPad T14S GEN 2 20WM01SYVA,32990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-t14s-gen-2-20wm01syva-core-i7.html,https://phucanhcdn.com/media/product/250_49980_laptop_lenovo_thinkpad_t14s_gen_2_a2.jpg,Core i7 Tiger Lake 1165G7 2.8 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,14.0inch Full HD,Battery,"Intel Wi-Fi 6E AX210, 11ax 2x2 + BT5.1","1,36 Kg","14.0inch Full HD,326.8 x 225.5 x 17.9 mm",Black,NoOS
Laptop Lenovo ThinkPad X13 GEN 2 20WK00PSVA,29990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-x13-gen-2-20wk00psva-core-i5.html,https://phucanhcdn.com/media/product/250_49979_laptop_lenovo_thinkpad_x13_gen_2__a3.jpg,Core i5 Tiger Lake 1135G7 2.4 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,13.3inch WQXGA,Battery,"Intel Wi-Fi 6E AX210, 11ax 2x2 + BT5.1","1,31 Kg","13.3inch WQXGA,305.8 x 217.06 x 18.19 mm",Black,NoOS
Laptop Lenovo ThinkPad L13 G2 20VH008XVN,32990000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-l13-g2-20vh008xvn.html,https://phucanhcdn.com/media/product/250_49791_lenovo_thinkpad_l13_g2_intel_black_a6.jpg,Core i7 Tiger Lake 1165G7 2.8 GHz,8Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,13.3inch Full HD,Battery,"Intel AX201 11ax, 2x2 + BT5.1",1.39Kg,"13.3inch Full HD,311.5 x 219 x 17.6 mm",Black,Windows 11 Pro
Laptop Dell Inspiron 5620 71003903,23990000,https://www.phucanh.vn//may-tinh-xach-tay-dell-inspiron-5620-71003903-core-i5.html,https://phucanhcdn.com/media/product/250_50380_48914_laptop_dell_inspiron_5620_intel_gen_12_silver_a4.gif,Core i5 Alder Lake 1235U 1.3 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,Khoảng 16 inch,Battery,WiFi 802.11a/b/g - Bluetooth 5.0,"1,97 Kg","Khoảng 16 inch,355.9 x 243.4 x 16.8 mm",Silver,Windows 11 Home + Office Student
Laptop Asus Vivobook A1403ZA-LY153W,15990000,https://www.phucanh.vn//laptop-asus-vivobook-a1403za-ly153w.html,https://phucanhcdn.com/media/product/250_50361_laptop_asus_vivobook_a1403za_ly153w_8.jpg,Core i3 Alder Lake 1220P 1.1 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,Intel UHD Graphics,14.0inch WUXGA,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,4","14.0inch WUXGA,31.71 x 22.20 x 1.99 ~ 1.99 cm",Blue,Windows 11 Home
Laptop Asus Vivobook M513UA-EJ710W,17990000,https://www.phucanh.vn//may-tinh-xach-tay-asus-vivobook-m513ua-ej710w.html,https://phucanhcdn.com/media/product/250_50176_may_tinh_xach_tay_asus_vivobook_m513ua_ej710w_3.jpg,AMD Ryzen 7 5700U 1.8 GHz,16Gb (2x8Gb) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,AMD Radeon Graphics,15.6inch Full HD,Battery,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth 5,"1,7","15.6inch Full HD,35.68 x 22.76 x 1.99 ~ 1.99 cm",Silver,Windows 11 Home
Laptop Lenovo V15 G3 ITL 82TT005MVN,15990000,https://www.phucanh.vn//laptop-lenovo-v15-g3-itl-82tt005mvn-core-i5.html,https://phucanhcdn.com/media/product/250_50119_lenovo_v15_g3_iap_intel_black_a.jpg,Core i5 Alder Lake 1235U 1.3 GHz,8Gb (Onboard) DDR4 3200,1,256GB SSD M.2 NVMe PCIe 2242,Intel Iris Xe Graphics,15.6inch Full HD,Battery,11ac 2x2 + BT5.0,"1,7 Kg","15.6inch Full HD,359.8 x 235.3 x 19.5-19.5 mm",Black,NoOS
Laptop Lenovo IdeaPad 5 Pro 16ARH7 82SN003KVN,31990000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-ideapad-5-pro-16arh7-82sn003kvn.html,https://phucanhcdn.com/media/product/250_49146_3.jpg,AMD Ryzen 7 6800HS 3.2 GHz,16Gb (Onboard) DDR5 6400,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,Khoảng 16 inch,Battery,"Wi-Fi 6 11ax, 2x2 + BT5.1","1,9 Kg","Khoảng 16 inch,358 x 236.5 x 19.4-19.4 mm",Cloud Grey,Windows 11 Home
Laptop Lenovo ThinkPad E15 GEN 4 21E600CMVA,24890000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkpad-e15-gen-4-21e600cmva.html,https://phucanhcdn.com/media/product/250_48940_2y_laptop_lenovo_thinkpad_e15_gen_4_intel_black_a.gif,Core i7 Alder Lake 1255U 3.5 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2242,Intel Iris Xe Graphics,15.6inch Full HD,Battery,"Wi-Fi 6E 11ax, 2x2 + BT5.1","1,64 Kg","15.6inch Full HD,324 x 220 x 17.9 mm",Black,NoOS
Laptop Dell Inspiron 5620 N6I7110W1,25990000,https://www.phucanh.vn//laptop-dell-inspiron-5620-n6i7110w1.html,https://phucanhcdn.com/media/product/250_48888_laptop_dell_inspiron_5620_intel_gen_12_silver_a4.gif,Core i7 Alder Lake 1255U 3.5 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,Khoảng 16 inch,Battery,WiFi 802.11a/b/g - Bluetooth 5.0,"1,97 Kg","Khoảng 16 inch,355.9 x 243.4 x 16.8 mm",Silver,Windows 11 Home + Office Student
Laptop HP ProBook 450 G9 6M0Z5PA,21990000,https://www.phucanh.vn//laptop-hp-probook-450-g9-6m0z5pa.html,https://phucanhcdn.com/media/product/250_48225_laptop_hp_probook_440_g9_a6.jpg,Core i5 Alder Lake 1240P 3.3 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe 2280,Intel Iris Xe Graphics,Khoảng 15 inch,Battery,Intel AX201 Wi-Fi 6 (2x2) and Bluetooth 5 Combo,"1,74","Khoảng 15 inch,35.94 x 23.39 x 1.99 cm",Silver,Windows 11 Home
Laptop Dell Latitude 3520 71004153,18990000,https://www.phucanh.vn//laptop-dell-latitude-3520-71004153-core-i5-1135g7-8gb-256gb-ssd-intel-iris-xe-graphics-156inch-full-hd-noos-black-1-year.html,https://phucanhcdn.com/media/product/250_51310_dell_latitude_3520__black_a7.jpg,Core i5 Tiger Lake 1135G7 2.4 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Intel Wi-Fi 6 AX201 2x2 802.11ax 160MHz + Bluetooth 5.0,"1,79 Kg","15.6inch Full HD,361 x 240 x 18.06 mm",Black,NoOS
Laptop Asus Vivobook A1505VA-L1114W,20990000,https://www.phucanh.vn//laptop-asus-vivobook-15-oled-a1505va-l1114w.html,https://phucanhcdn.com/media/product/250_50732_5.jpg,Core i5 Raptor Lake 13500H 2.6 GHz,16Gb (2x8Gb) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch FHD OLED,Battery,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,"1,7 Kg","15.6inch FHD OLED,35.68 x 22.76 x 1.99 ~ 1.99 cm",Black,Windows 11 Home
Laptop Acer Aspire A315 58 53S6,15990000,https://www.phucanh.vn//laptop-acer-aspire-a315-58-53s6-nx.am0sv.005.html,https://phucanhcdn.com/media/product/250_47584_laptop_acer_aspire_a315_58_gold_h6.jpg,Core i5 Tiger Lake 1135G7 2.4 GHz,8Gb DDR4 3200,Không,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,Gigabit Ethernet/802.11a/b/g/n/ac wireless LAN/ Bluetooth 4.2,"1,7 Kg","15.6inch Full HD,363.4 x 255 x 23.9 mm",Gold,Windows 11 Home
Laptop HP Envy X360 13-bf0094TU 76B14PA,29590000,https://www.phucanh.vn//laptop-hp-envy-x360-13-bf0094tu-76b14pa.html,https://phucanhcdn.com/media/product/250_49125_hp_envy_x360_13_intel_blue_a.jpg,Core i5 Alder Lake 1230U 3.3 GHz,16Gb (Onboard) DDR4 4266,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,13.3inch OLED Touch,Battery,Intel Wi-Fi 6 AX201 (2x2) and Bluetooth 5,"1,32 Kg","13.3inch OLED Touch,306 x 204 x 15.9 mm",Blue,Windows 11 Home
Laptop MSI Gaming Katana GF66 12UCK-804VN,27990000,https://www.phucanh.vn//laptop-msi-gaming-katana-gf66-12uck-804vn.html,https://phucanhcdn.com/media/product/250_49007_7.jpg,Core i7 Alder Lake 12650H 3.5 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,15.6inch Full HD,Battery,802.11 ax Wi-Fi 6 + Bluetooth v5.1,"2,25","15.6inch Full HD,359 x 259 x 27.9 mm",Black,Windows 11 Home
Laptop Lenovo ThinkBook 14 G4 IAP 21DH00B5VN,21490000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkbook-14-g4-iap-21dh00b5vn-core-i5.html,https://phucanhcdn.com/media/product/250_49994_laptop_lenovo_thinkbook_14_g4_iap__a10.jpg,Core i5 Alder Lake 1240P 3.3 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2242,Intel Iris Xe Graphics,14.0inch Full HD,Battery,"Wi-Fi 6E 11ax, 2x2 + BT5.1","1,4 Kg","14.0inch Full HD,323 x 218 x 17.9 mm",Grey,Windows 11 Home
Laptop HP 14s dq5102TU 7C0Q1PA,21590000,https://www.phucanh.vn//laptop-hp-14s-dq5102tu-7c0q1pa.html,https://phucanhcdn.com/media/product/250_49898_laptop_hp_14s_sliver_vo_nhua_a2.jpg,Core i7 Alder Lake 1255U 3.5 GHz,8Gb (2x4Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,14.0inch Full HD,Battery,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5 combo,"1,46 Kg","14.0inch Full HD,322.8 x 212.2 x 15.9 mm",Silver,Windows 11 Home
Laptop HP Gaming Victus 16-e1104AX 7C0S9PA,29290000,https://www.phucanh.vn//laptop-hp-gaming-victus-16-e1104ax-7c0s9pa.html,https://phucanhcdn.com/media/product/250_49828_hp_gaming_victus_16_e1107ax_amd_a_4.jpg,AMD Ryzen 7 6800H 3.2 GHz,8Gb DDR5 4800,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,Khoảng 16 inch,Battery,MediaTek Wi-Fi 6 MT7921 (2x2) and Bluetooth 5.2 combo (supporting gigabit data rate),"2,46 Kg","Khoảng 16 inch,35.79 x 25.5 x 2.35 cm",Black,Windows 11 Home
Laptop Gigabyte G Serial G5 GE 51VN263SH,25990000,https://www.phucanh.vn//may-tinh-xach-tay-gigabyte-g-serial-g5-ge-51vn263sh.html,https://phucanhcdn.com/media/product/250_49560_gigabyte_g_serial_g5_me_a1.jpg,Core i5 Alder Lake 12500H 2.5 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,15.6inch Full HD,Battery,Intel WiFi 6 + Bluetooth V5.2,1.9 Kg,"15.6inch Full HD,360 x 238 x 22.7 mm",Black,Windows 11 Home
Laptop Lenovo ThinkBook 14 G4+ IAP 21CX001PVN,23990000,https://www.phucanh.vn//laptop-lenovo-thinkbook-14-g4-iap-21cx001pvn-core-i5-12500h-8gb-512gb-ssd-nvidia-geforce-rtx-2050-4gb-gddr6-14-5inch-2-8k-windows-11-home-grey-vo-nhom-2-year.html,https://phucanhcdn.com/media/product/250_51645_laptop_lenovo_thinkbook_14_g4__iap_intel_a6.jpg,Core i5 Alder Lake 12500H 2.5 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2242,Nvidia GeForce RTX 2050 4GB GDDR6,14.0inch 2.8K,Battery,"Wi-Fi 6E 11ax, 2x2 + BT5.1","1,4 Kg","14.0inch 2.8K,323 x 218 x 17.9 mm",Grey,Windows 11 Home
Laptop Lenovo ThinkBook 15 G4 IAP 21DJ00CWVN,22490000,https://www.phucanh.vn//laptop-lenovo-thinkbook-15-g4-iap-21dj00cwvn-core-i7-1255u-8gb-512gb-ssd-intel-iris-xe-graphics-15-6inch-full-hd-windows-11-home-grey-aluminium-2-year.html,https://phucanhcdn.com/media/product/250_51644_laptop_lenovo_thinkbook_15_g4_iap__intel_a6.jpg,Core i7 Alder Lake 1255U 3.5 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,15.6inch Full HD,Battery,"11ac, 2x2 + BT5.0","1,7 Kg","15.6inch Full HD,357 x 235 x 18.9 mm",Grey,Windows 11 Home
"Laptop Lenovo IdeaPad Slim 3 15IAU7 82RK001NVN , PC + ABS / 2 Year)",14690000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-ideapad-slim-3-15iau7-82rk001nvn.html,https://phucanhcdn.com/media/product/250_49141_lenovo_ideapad_slim_3_15iau7_intel_xanh_a2.jpg,Core i3 Alder Lake 1215U 1.2 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe,Intel UHD Graphics,15.6inch Full HD,Battery,"11ac, 2x2 + BT5.0","1,63 Kg","15.6inch Full HD,359 x 236 x 19.9 mm",Xanh,Windows 11 Home
